replacement_id,replaces_question_id,candidate_id,arm,provider,condition,dataset_name,planned_experiment_id,tailscale_prompt_id,model,prompt_version,temperature,runs,status
r021,b161,c0369,openrouter_A,openrouter,A,aug26_replacement22_A,ab520_replacement22_or_A_20260804,,google/gemma-4-26b-a4b-it,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,openrouter_A,openrouter,A,aug26_replacement22_A,ab520_replacement22_or_A_20260804,,qwen/qwen3.6-35b-a3b,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,openrouter_A,openrouter,A,aug26_replacement22_A,ab520_replacement22_or_A_20260804,,z-ai/glm-5.2,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,google/gemini-3.6-flash,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,google/gemma-4-26b-a4b-it,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,qwen/qwen3.6-35b-a3b,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,z-ai/glm-5.2,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,google/gemini-3.6-flash,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,google/gemma-4-26b-a4b-it,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,qwen/qwen3.6-35b-a3b,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r021,b161,c0369,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,z-ai/glm-5.2,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_A,openrouter,A,aug26_replacement22_A,ab520_replacement22_or_A_20260804,,google/gemini-3.6-flash,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_A,openrouter,A,aug26_replacement22_A,ab520_replacement22_or_A_20260804,,google/gemma-4-26b-a4b-it,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_A,openrouter,A,aug26_replacement22_A,ab520_replacement22_or_A_20260804,,qwen/qwen3.6-35b-a3b,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_A,openrouter,A,aug26_replacement22_A,ab520_replacement22_or_A_20260804,,z-ai/glm-5.2,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,google/gemini-3.6-flash,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,google/gemma-4-26b-a4b-it,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,qwen/qwen3.6-35b-a3b,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,openrouter_B,openrouter,B,aug26_replacement22_B,ab520_replacement22_or_B_20260804,,z-ai/glm-5.2,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,google/gemini-3.6-flash,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,google/gemma-4-26b-a4b-it,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,qwen/qwen3.6-35b-a3b,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
r022,b163,c2093,tailscale_A,tailscale_medical_rag,A,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,13,z-ai/glm-5.2,mcq_es_v4,0,1,NOT_RUN_REQUIRES_FINAL_PROTOCOL_QA
